tracking_number,origin,destination,carrier,transit_days,quantity,total_cost,weather_risk_score,traffic_risk_score,delayed,actual_delay_days
TRK-777278,Rotterdam (NL),Port of Seattle (US),OceanNet Logistics,29,229,6583.83,0.33,0.41,0,0.0
TRK-931450,Shanghai Port (CN),Port of Los Angeles (US),FedEx Supply Chain,7,1352,1848.62,0.59,0.41,0,0.0
TRK-332360,Shenzhen Port (CN),Port of Vancouver (CA),DHL Express,27,2434,4711.83,0.2,0.52,0,0.0
TRK-421080,Rotterdam (NL),Port of Oakland (US),FedEx Supply Chain,14,961,3060.05,0.58,0.9,1,4.5
TRK-596249,Yokohama (JP),Port of Oakland (US),FedEx Supply Chain,26,2103,6922.69,0.37,0.53,1,7.1
TRK-546173,Rotterdam (NL),Port of Oakland (US),FedEx Supply Chain,28,1679,8363.42,0.55,0.54,1,5.9
TRK-468900,Rotterdam (NL),Port of Seattle (US),FedEx Supply Chain,18,1068,5663.35,0.09,0.16,0,0.0
TRK-421517,Hamburg Port (DE),Port of Long Beach (US),Maersk Line,10,1182,2662.09,0.09,0.18,0,0.0
TRK-856321,Ningbo-Zhoushan (CN),Port of New York (US),Maersk Line,25,2389,5807.4,0.91,0.63,1,9.3
TRK-878967,Yokohama (JP),Port of Vancouver (CA),DHL Express,28,1018,4885.06,0.08,0.33,0,0.0
TRK-300845,Ningbo-Zhoushan (CN),Port of Vancouver (CA),OceanNet Logistics,20,2069,5468.99,0.92,0.13,1,6.4
TRK-389930,Rotterdam (NL),Port of Oakland (US),Global Freight Air,10,616,2326.24,0.65,0.93,1,4.1
TRK-725780,Hamburg Port (DE),Port of Los Angeles (US),DHL Express,34,2261,9689.64,0.83,0.74,1,9.5
TRK-410636,Ningbo-Zhoushan (CN),Port of New York (US),DHL Express,29,913,7291.89,0.9,0.79,1,10.2
TRK-416950,Shanghai Port (CN),Port of Vancouver (CA),Global Freight Air,13,1109,3136.27,0.83,0.94,1,6.3
TRK-232731,Hamburg Port (DE),Port of Los Angeles (US),Maersk Line,25,588,5810.0,0.74,0.88,1,8.1
TRK-680238,Hamburg Port (DE),Port of Vancouver (CA),DHL Express,6,1100,2160.61,0.39,0.32,0,0.0
TRK-768854,Singapore (SG),Port of Seattle (US),Maersk Line,11,1724,3397.99,0.6,0.56,1,3.9
TRK-112861,Yokohama (JP),Port of New York (US),OceanNet Logistics,33,1596,8144.62,0.45,0.06,0,0.0
TRK-601968,Shenzhen Port (CN),Port of New York (US),DHL Express,15,1061,3443.91,0.83,0.52,1,5.3
TRK-153872,Hamburg Port (DE),Port of Seattle (US),Maersk Line,25,1277,4047.35,0.52,0.27,0,0.0
TRK-962050,Shanghai Port (CN),Port of Seattle (US),OceanNet Logistics,8,142,2139.3,0.7,0.91,1,2.7
TRK-177680,Yokohama (JP),Port of Vancouver (CA),Maersk Line,27,1114,4775.42,0.91,0.64,1,8.4
TRK-259097,Ningbo-Zhoushan (CN),Port of Oakland (US),FedEx Supply Chain,8,888,1835.27,0.2,0.61,0,0.0
TRK-189318,Ningbo-Zhoushan (CN),Port of Los Angeles (US),Global Freight Air,25,1792,6971.72,0.33,0.6,1,6.8
TRK-901577,Shenzhen Port (CN),Port of Oakland (US),Global Freight Air,21,2237,3946.94,0.66,0.21,0,0.0
TRK-929151,Yokohama (JP),Port of Long Beach (US),Global Freight Air,17,2306,4460.51,0.56,0.28,0,0.0
TRK-498855,Shenzhen Port (CN),Port of Seattle (US),FedEx Supply Chain,8,1207,2847.88,0.55,0.09,0,0.0
TRK-717113,Shenzhen Port (CN),Port of New York (US),Global Freight Air,14,2288,5394.65,0.85,0.26,1,3.9
TRK-751194,Shanghai Port (CN),Port of Oakland (US),Maersk Line,14,1083,4254.93,0.86,0.37,1,4.2
TRK-899787,Ningbo-Zhoushan (CN),Port of Vancouver (CA),DHL Express,9,1703,3134.91,0.43,0.65,0,0.0
TRK-377501,Rotterdam (NL),Port of Los Angeles (US),DHL Express,22,1014,5084.69,0.58,0.2,0,0.0
TRK-351516,Ningbo-Zhoushan (CN),Port of Oakland (US),Maersk Line,7,1349,2382.89,0.21,0.33,0,0.0
TRK-264136,Shanghai Port (CN),Port of Seattle (US),OceanNet Logistics,7,1087,2039.18,0.28,0.62,0,0.0
TRK-822858,Yokohama (JP),Port of Seattle (US),FedEx Supply Chain,29,1020,5325.24,0.68,0.41,1,7.5
TRK-134225,Ningbo-Zhoushan (CN),Port of New York (US),FedEx Supply Chain,11,1098,3391.22,0.59,0.35,0,0.0
TRK-837135,Singapore (SG),Port of Seattle (US),Maersk Line,11,1105,3010.03,0.59,0.41,0,0.0
TRK-820775,Ningbo-Zhoushan (CN),Port of New York (US),Global Freight Air,5,2014,2254.56,0.45,0.8,1,3.8
TRK-793300,Singapore (SG),Port of Long Beach (US),OceanNet Logistics,16,259,4370.62,0.64,0.53,1,4.6
TRK-220351,Yokohama (JP),Port of Long Beach (US),DHL Express,7,441,2344.17,0.65,0.55,1,4.3
TRK-378535,Singapore (SG),Port of Long Beach (US),Maersk Line,34,215,7204.93,0.91,0.21,1,9.7
TRK-162535,Ningbo-Zhoushan (CN),Port of New York (US),Global Freight Air,29,410,4239.78,0.46,0.73,1,7.3
TRK-885339,Singapore (SG),Port of Oakland (US),FedEx Supply Chain,16,1779,3318.0,0.93,0.07,1,5.7
TRK-560485,Shanghai Port (CN),Port of Seattle (US),FedEx Supply Chain,28,463,6591.5,0.13,0.28,0,0.0
TRK-833723,Shenzhen Port (CN),Port of New York (US),Global Freight Air,12,1866,4607.62,0.51,0.19,0,0.0
TRK-666211,Shenzhen Port (CN),Port of Seattle (US),Maersk Line,33,580,6034.32,0.39,0.36,0,0.0
TRK-727086,Shanghai Port (CN),Port of Seattle (US),FedEx Supply Chain,29,1966,6810.71,0.9,0.84,1,8.8
TRK-733039,Hamburg Port (DE),Port of Los Angeles (US),Maersk Line,26,2290,9392.87,0.24,0.89,1,5.6
TRK-340044,Rotterdam (NL),Port of Oakland (US),Global Freight Air,22,1552,6679.66,0.83,0.78,1,8.4
TRK-121753,Singapore (SG),Port of Vancouver (CA),FedEx Supply Chain,24,172,3063.61,0.19,0.25,0,0.0
TRK-704238,Shanghai Port (CN),Port of Long Beach (US),OceanNet Logistics,18,1911,6364.34,0.57,0.48,1,4.7
TRK-644173,Rotterdam (NL),Port of Seattle (US),FedEx Supply Chain,18,1233,5908.91,0.34,0.91,1,6.5
TRK-290305,Yokohama (JP),Port of Seattle (US),OceanNet Logistics,17,1063,5061.92,0.54,0.92,1,5.6
TRK-195674,Shenzhen Port (CN),Port of New York (US),OceanNet Logistics,17,642,3704.67,0.15,0.63,0,0.0
TRK-449499,Hamburg Port (DE),Port of Vancouver (CA),Maersk Line,33,142,7512.14,0.19,0.11,0,0.0
TRK-999398,Ningbo-Zhoushan (CN),Port of New York (US),OceanNet Logistics,23,2053,4384.06,0.95,0.1,1,7.1
TRK-827369,Shenzhen Port (CN),Port of New York (US),OceanNet Logistics,13,1082,2372.23,0.16,0.32,0,0.0
TRK-953085,Singapore (SG),Port of Oakland (US),Maersk Line,23,2410,5176.44,0.51,0.95,1,8.1
TRK-576919,Shanghai Port (CN),Port of New York (US),FedEx Supply Chain,11,1503,3231.09,0.52,0.43,0,0.0
TRK-438977,Shanghai Port (CN),Port of Seattle (US),Global Freight Air,9,1697,3068.82,0.52,0.48,0,0.0
TRK-964998,Shanghai Port (CN),Port of Vancouver (CA),Global Freight Air,11,1864,4167.77,0.27,0.17,0,0.0
TRK-584417,Shenzhen Port (CN),Port of Los Angeles (US),DHL Express,25,2393,7723.56,0.66,0.22,1,6.6
TRK-643623,Hamburg Port (DE),Port of Oakland (US),OceanNet Logistics,17,2360,6212.2,0.23,0.11,0,0.0
TRK-755788,Shenzhen Port (CN),Port of Los Angeles (US),DHL Express,8,564,1861.18,0.46,0.81,1,2.6
TRK-380028,Yokohama (JP),Port of Long Beach (US),FedEx Supply Chain,30,1831,6730.48,0.64,0.78,1,9.2
TRK-559398,Rotterdam (NL),Port of Seattle (US),Maersk Line,33,2168,7174.44,0.14,0.64,0,0.0
TRK-130271,Rotterdam (NL),Port of Oakland (US),DHL Express,13,2276,4036.91,0.3,0.89,1,3.8
TRK-844261,Ningbo-Zhoushan (CN),Port of New York (US),Global Freight Air,12,888,3309.35,0.4,0.46,0,0.0
TRK-114338,Yokohama (JP),Port of Seattle (US),Maersk Line,21,178,4228.98,0.84,0.15,1,7.3
TRK-335615,Singapore (SG),Port of Los Angeles (US),OceanNet Logistics,27,2248,4068.4,0.72,0.64,1,8.9
TRK-223172,Rotterdam (NL),Port of Long Beach (US),OceanNet Logistics,7,1768,2570.32,0.47,0.94,1,5.1
TRK-851413,Hamburg Port (DE),Port of Oakland (US),FedEx Supply Chain,23,1514,5571.72,0.42,0.54,1,6.9
TRK-535673,Singapore (SG),Port of Seattle (US),OceanNet Logistics,12,1443,2541.02,0.51,0.86,1,5.5
TRK-355570,Shenzhen Port (CN),Port of Oakland (US),DHL Express,12,1020,3922.05,0.06,0.28,0,0.0
TRK-502219,Ningbo-Zhoushan (CN),Port of Oakland (US),Global Freight Air,8,1713,2729.53,0.48,0.86,1,3.3
TRK-882544,Ningbo-Zhoushan (CN),Port of Los Angeles (US),FedEx Supply Chain,8,751,1632.03,0.49,0.88,1,3.9
TRK-910208,Singapore (SG),Port of Seattle (US),FedEx Supply Chain,32,1349,6073.34,0.89,0.25,1,8.3
TRK-925981,Yokohama (JP),Port of New York (US),Maersk Line,31,945,7390.91,0.9,0.27,1,7.5
TRK-396578,Rotterdam (NL),Port of New York (US),Global Freight Air,23,785,6617.82,0.65,0.34,1,7.3
TRK-708093,Rotterdam (NL),Port of Seattle (US),DHL Express,16,1356,4588.14,0.25,0.93,1,5.7
TRK-568238,Yokohama (JP),Port of Seattle (US),FedEx Supply Chain,18,746,2629.6,0.34,0.73,1,4.5
TRK-448588,Yokohama (JP),Port of Oakland (US),OceanNet Logistics,32,869,7883.02,0.79,0.24,1,8.3
TRK-577463,Hamburg Port (DE),Port of Long Beach (US),DHL Express,28,1167,6893.39,0.58,0.51,1,6.8
TRK-699573,Shenzhen Port (CN),Port of Long Beach (US),OceanNet Logistics,23,122,6084.17,0.62,0.74,1,6.0
TRK-145767,Hamburg Port (DE),Port of Vancouver (CA),OceanNet Logistics,14,2276,5827.18,0.3,0.22,0,0.0
TRK-839485,Singapore (SG),Port of Seattle (US),OceanNet Logistics,14,1528,4505.93,0.22,0.37,0,0.0
TRK-795928,Singapore (SG),Port of Vancouver (CA),DHL Express,17,1516,3231.42,0.73,0.08,0,0.0
TRK-619389,Shanghai Port (CN),Port of Long Beach (US),Global Freight Air,21,2097,6666.75,0.38,0.34,0,0.0
TRK-718849,Hamburg Port (DE),Port of Los Angeles (US),OceanNet Logistics,23,1114,5383.78,0.16,0.4,0,0.0
TRK-204555,Yokohama (JP),Port of Seattle (US),Maersk Line,8,1143,2371.17,0.17,0.65,0,0.0
TRK-857537,Ningbo-Zhoushan (CN),Port of Seattle (US),DHL Express,26,2123,4131.44,0.2,0.21,0,0.0
TRK-178463,Shenzhen Port (CN),Port of New York (US),FedEx Supply Chain,17,2420,5305.52,0.63,0.11,0,0.0
TRK-753534,Rotterdam (NL),Port of Seattle (US),Maersk Line,20,1178,3650.14,0.49,0.59,1,6.0
TRK-993140,Hamburg Port (DE),Port of Vancouver (CA),Global Freight Air,32,159,7187.24,0.18,0.68,0,0.0
TRK-498468,Hamburg Port (DE),Port of Vancouver (CA),OceanNet Logistics,16,641,3215.42,0.79,0.52,1,5.1
TRK-667296,Shanghai Port (CN),Port of Oakland (US),Maersk Line,34,282,5630.61,0.38,0.11,0,0.0
TRK-346174,Rotterdam (NL),Port of Vancouver (CA),FedEx Supply Chain,32,1426,10326.5,0.63,0.43,1,8.6
TRK-338536,Rotterdam (NL),Port of Los Angeles (US),OceanNet Logistics,20,1170,4135.73,0.81,0.4,1,6.3
TRK-203225,Singapore (SG),Port of Vancouver (CA),Maersk Line,20,936,3957.19,0.35,0.07,0,0.0
TRK-565230,Ningbo-Zhoushan (CN),Port of Vancouver (CA),FedEx Supply Chain,21,1985,5502.14,0.52,0.32,0,0.0
TRK-130353,Shanghai Port (CN),Port of New York (US),Maersk Line,25,1549,5544.25,0.39,0.47,0,0.0
TRK-407618,Hamburg Port (DE),Port of New York (US),OceanNet Logistics,24,2196,7936.31,0.69,0.62,1,5.8
TRK-252640,Ningbo-Zhoushan (CN),Port of Oakland (US),OceanNet Logistics,11,1109,3928.51,0.06,0.1,0,0.0
TRK-693418,Rotterdam (NL),Port of Long Beach (US),DHL Express,18,1951,4039.85,0.88,0.47,1,4.6
TRK-283573,Shanghai Port (CN),Port of Oakland (US),OceanNet Logistics,28,975,3807.62,0.3,0.3,0,0.0
TRK-749813,Rotterdam (NL),Port of Long Beach (US),OceanNet Logistics,18,731,4088.8,0.44,0.81,1,4.9
TRK-711484,Ningbo-Zhoushan (CN),Port of Long Beach (US),OceanNet Logistics,13,1936,3709.72,0.61,0.56,1,4.1
TRK-768891,Hamburg Port (DE),Port of Seattle (US),FedEx Supply Chain,22,2110,7031.16,0.07,0.65,0,0.0
TRK-799233,Shanghai Port (CN),Port of Seattle (US),FedEx Supply Chain,24,1595,7724.94,0.1,0.43,0,0.0
TRK-810526,Yokohama (JP),Port of Long Beach (US),Maersk Line,18,1436,6014.68,0.18,0.7,0,0.0
TRK-563187,Hamburg Port (DE),Port of Oakland (US),FedEx Supply Chain,9,2452,4173.37,0.6,0.36,0,0.0
TRK-769975,Shenzhen Port (CN),Port of Vancouver (CA),FedEx Supply Chain,13,2308,2937.28,0.28,0.82,0,0.0
TRK-579027,Singapore (SG),Port of New York (US),DHL Express,27,2436,5556.03,0.82,0.7,1,7.3
TRK-503380,Singapore (SG),Port of Seattle (US),Maersk Line,26,276,3671.49,0.46,0.49,1,5.5
TRK-348728,Shenzhen Port (CN),Port of Oakland (US),FedEx Supply Chain,6,2169,3655.93,0.47,0.42,0,0.0
TRK-702733,Hamburg Port (DE),Port of Vancouver (CA),FedEx Supply Chain,33,687,6878.41,0.78,0.46,1,7.9
TRK-123005,Singapore (SG),Port of Vancouver (CA),OceanNet Logistics,21,1059,6056.96,0.54,0.73,1,7.1
TRK-387813,Shanghai Port (CN),Port of Oakland (US),Maersk Line,19,2360,4840.21,0.28,0.9,1,5.7
TRK-735863,Rotterdam (NL),Port of Seattle (US),FedEx Supply Chain,32,980,4444.14,0.47,0.87,1,9.1
TRK-913423,Singapore (SG),Port of Long Beach (US),Global Freight Air,24,2374,6233.41,0.79,0.39,1,7.7
TRK-940886,Hamburg Port (DE),Port of Long Beach (US),DHL Express,23,878,5075.31,0.31,0.76,1,6.3
TRK-751051,Hamburg Port (DE),Port of Vancouver (CA),DHL Express,25,1004,7289.04,0.53,0.19,0,0.0
TRK-758765,Shanghai Port (CN),Port of Vancouver (CA),Maersk Line,24,947,7367.5,0.3,0.94,1,5.6
TRK-423939,Singapore (SG),Port of Seattle (US),Maersk Line,5,1114,1788.66,0.64,0.19,0,0.0
TRK-707727,Hamburg Port (DE),Port of Vancouver (CA),DHL Express,8,1881,3112.03,0.72,0.34,1,5.1
TRK-194511,Hamburg Port (DE),Port of New York (US),OceanNet Logistics,17,2010,4748.79,0.34,0.95,1,6.8
TRK-284171,Ningbo-Zhoushan (CN),Port of Long Beach (US),Global Freight Air,31,346,7256.0,0.13,0.08,0,0.0
TRK-483629,Yokohama (JP),Port of Oakland (US),FedEx Supply Chain,24,1029,4797.76,0.93,0.35,1,6.6
TRK-970813,Ningbo-Zhoushan (CN),Port of New York (US),OceanNet Logistics,10,1557,2968.4,0.94,0.86,1,5.3
TRK-945664,Hamburg Port (DE),Port of Vancouver (CA),FedEx Supply Chain,13,1349,4777.2,0.52,0.27,0,0.0
TRK-943298,Shanghai Port (CN),Port of Seattle (US),Maersk Line,32,1341,5531.61,0.18,0.36,0,0.0
TRK-247594,Singapore (SG),Port of Long Beach (US),OceanNet Logistics,19,437,4679.61,0.61,0.37,1,6.4
TRK-986827,Singapore (SG),Port of Oakland (US),FedEx Supply Chain,15,1030,3862.25,0.15,0.33,0,0.0
TRK-194689,Singapore (SG),Port of Seattle (US),Maersk Line,28,255,4337.64,0.64,0.94,1,7.6
TRK-377304,Yokohama (JP),Port of Los Angeles (US),OceanNet Logistics,7,541,1580.68,0.24,0.08,0,0.0
TRK-486490,Rotterdam (NL),Port of Vancouver (CA),FedEx Supply Chain,25,1048,7665.51,0.83,0.74,1,9.0
TRK-712955,Shenzhen Port (CN),Port of Vancouver (CA),FedEx Supply Chain,17,2357,6464.32,0.05,0.2,0,0.0
TRK-213609,Rotterdam (NL),Port of Long Beach (US),OceanNet Logistics,6,241,1502.97,0.39,0.93,1,2.3
TRK-126240,Yokohama (JP),Port of Oakland (US),FedEx Supply Chain,24,2004,6302.24,0.88,0.3,1,8.0
TRK-739717,Ningbo-Zhoushan (CN),Port of Vancouver (CA),Maersk Line,23,1549,7265.54,0.93,0.61,1,7.8
TRK-766269,Singapore (SG),Port of Seattle (US),FedEx Supply Chain,32,1498,8224.21,0.45,0.25,0,0.0
TRK-780776,Shenzhen Port (CN),Port of Los Angeles (US),DHL Express,25,1952,4667.99,0.09,0.56,0,0.0
TRK-147549,Shanghai Port (CN),Port of New York (US),OceanNet Logistics,24,2236,5475.56,0.25,0.71,1,6.3
TRK-221761,Shanghai Port (CN),Port of Long Beach (US),Global Freight Air,31,167,8252.14,0.35,0.36,0,0.0
TRK-242254,Shenzhen Port (CN),Port of Seattle (US),FedEx Supply Chain,28,1378,4880.88,0.77,0.08,1,7.1
TRK-803055,Rotterdam (NL),Port of Vancouver (CA),Global Freight Air,18,1685,5396.46,0.28,0.25,0,0.0
TRK-539486,Yokohama (JP),Port of Vancouver (CA),DHL Express,16,2144,3609.38,0.83,0.11,1,6.2
TRK-535037,Rotterdam (NL),Port of Los Angeles (US),OceanNet Logistics,12,442,2339.77,0.44,0.75,1,4.7
TRK-745558,Shenzhen Port (CN),Port of New York (US),Maersk Line,30,919,7130.87,0.62,0.58,1,8.8
TRK-823811,Hamburg Port (DE),Port of Long Beach (US),OceanNet Logistics,8,1946,2527.11,0.4,0.49,0,0.0
TRK-566297,Ningbo-Zhoushan (CN),Port of New York (US),Maersk Line,26,1615,7480.81,0.72,0.51,1,7.8
TRK-818987,Hamburg Port (DE),Port of Oakland (US),FedEx Supply Chain,10,2361,2939.8,0.48,0.09,0,0.0
TRK-163491,Shenzhen Port (CN),Port of New York (US),DHL Express,12,1590,4120.97,0.35,0.48,0,0.0
TRK-228093,Singapore (SG),Port of Seattle (US),Maersk Line,12,241,2179.0,0.24,0.51,0,0.0
TRK-794963,Ningbo-Zhoushan (CN),Port of Vancouver (CA),Global Freight Air,10,2196,2115.5,0.08,0.15,0,0.0
TRK-122394,Shanghai Port (CN),Port of New York (US),DHL Express,30,1930,8299.87,0.51,0.31,1,8.2
TRK-232040,Singapore (SG),Port of Oakland (US),DHL Express,13,1467,3331.63,0.15,0.36,0,0.0
TRK-171942,Singapore (SG),Port of Oakland (US),DHL Express,11,282,2493.35,0.68,0.94,1,3.7
TRK-714867,Ningbo-Zhoushan (CN),Port of Long Beach (US),FedEx Supply Chain,18,100,4324.04,0.84,0.65,1,5.5
TRK-911984,Ningbo-Zhoushan (CN),Port of Oakland (US),Maersk Line,33,2052,11121.62,0.79,0.05,1,8.2
TRK-390743,Singapore (SG),Port of Long Beach (US),DHL Express,27,826,7243.63,0.28,0.65,1,7.4
TRK-666456,Hamburg Port (DE),Port of Long Beach (US),Maersk Line,8,693,1957.3,0.54,0.86,1,3.6
TRK-793169,Singapore (SG),Port of Los Angeles (US),DHL Express,23,2188,7724.82,0.66,0.38,1,6.5
TRK-115582,Hamburg Port (DE),Port of Long Beach (US),Global Freight Air,14,1009,4587.74,0.6,0.84,1,5.8
TRK-439498,Shanghai Port (CN),Port of Long Beach (US),FedEx Supply Chain,31,728,4855.7,0.53,0.18,0,0.0
TRK-154944,Ningbo-Zhoushan (CN),Port of Vancouver (CA),OceanNet Logistics,21,367,4347.58,0.57,0.09,0,0.0
TRK-651640,Shanghai Port (CN),Port of Vancouver (CA),Maersk Line,25,673,4898.09,0.71,0.64,1,8.6
TRK-599380,Shenzhen Port (CN),Port of New York (US),Global Freight Air,26,1230,6729.42,0.3,0.33,0,0.0
TRK-722503,Shanghai Port (CN),Port of Seattle (US),Global Freight Air,30,1153,8209.46,0.79,0.82,1,10.9
TRK-332311,Yokohama (JP),Port of Los Angeles (US),Global Freight Air,27,459,3795.86,0.38,0.07,0,0.0
TRK-416282,Shenzhen Port (CN),Port of Vancouver (CA),Maersk Line,32,2043,5932.03,0.44,0.18,0,0.0
TRK-163780,Shenzhen Port (CN),Port of Seattle (US),OceanNet Logistics,28,932,4591.22,0.07,0.63,0,0.0
TRK-819425,Shanghai Port (CN),Port of Seattle (US),OceanNet Logistics,32,1542,5091.62,0.42,0.33,0,0.0
TRK-177060,Shanghai Port (CN),Port of New York (US),Global Freight Air,10,675,2340.56,0.25,0.94,1,3.8
TRK-255539,Shanghai Port (CN),Port of Long Beach (US),FedEx Supply Chain,8,1748,2251.96,0.07,0.5,0,0.0
TRK-754644,Rotterdam (NL),Port of Oakland (US),Global Freight Air,15,656,2297.03,0.08,0.4,0,0.0
TRK-846746,Hamburg Port (DE),Port of Seattle (US),Global Freight Air,14,1941,3072.21,0.49,0.17,0,0.0
TRK-656329,Hamburg Port (DE),Port of Seattle (US),Global Freight Air,30,2272,6766.52,0.48,0.45,1,8.7
TRK-734836,Shenzhen Port (CN),Port of Los Angeles (US),Maersk Line,13,896,4028.65,0.4,0.4,0,0.0
TRK-994217,Rotterdam (NL),Port of Vancouver (CA),Global Freight Air,20,1401,3964.1,0.55,0.54,1,6.5
TRK-855855,Singapore (SG),Port of Long Beach (US),OceanNet Logistics,31,2490,6883.94,0.28,0.23,0,0.0
TRK-573489,Ningbo-Zhoushan (CN),Port of Seattle (US),FedEx Supply Chain,21,440,3681.18,0.92,0.55,1,6.5
TRK-967611,Shenzhen Port (CN),Port of Seattle (US),OceanNet Logistics,32,2082,6909.32,0.61,0.49,1,8.0
TRK-865054,Shanghai Port (CN),Port of New York (US),OceanNet Logistics,21,2251,6442.38,0.47,0.71,1,5.0
TRK-427704,Rotterdam (NL),Port of New York (US),FedEx Supply Chain,9,756,3085.56,0.17,0.58,0,0.0
TRK-260053,Rotterdam (NL),Port of Seattle (US),Maersk Line,6,366,1374.53,0.08,0.72,0,0.0
TRK-195656,Singapore (SG),Port of Los Angeles (US),Maersk Line,11,575,2693.42,0.47,0.08,0,0.0
TRK-552855,Shanghai Port (CN),Port of Vancouver (CA),FedEx Supply Chain,10,982,3446.71,0.49,0.83,1,4.4
TRK-951201,Ningbo-Zhoushan (CN),Port of Oakland (US),Maersk Line,30,1351,5280.01,0.74,0.4,1,8.1
TRK-714953,Yokohama (JP),Port of Oakland (US),FedEx Supply Chain,29,1814,7590.65,0.45,0.59,1,7.6
TRK-802559,Shanghai Port (CN),Port of Seattle (US),FedEx Supply Chain,11,464,3399.21,0.1,0.05,0,0.0
TRK-797660,Singapore (SG),Port of Seattle (US),Maersk Line,21,980,3850.53,0.33,0.28,0,0.0
TRK-401601,Yokohama (JP),Port of New York (US),FedEx Supply Chain,9,1136,2730.35,0.71,0.74,1,5.5
TRK-208633,Yokohama (JP),Port of Oakland (US),DHL Express,26,782,6156.61,0.62,0.63,1,8.4
TRK-262246,Rotterdam (NL),Port of Seattle (US),DHL Express,13,795,3808.22,0.94,0.23,1,6.2
TRK-988432,Shanghai Port (CN),Port of New York (US),Global Freight Air,12,641,3025.68,0.8,0.72,1,3.8
TRK-485415,Shanghai Port (CN),Port of New York (US),Global Freight Air,12,747,3436.81,0.74,0.81,1,5.3
TRK-337144,Singapore (SG),Port of Seattle (US),Global Freight Air,12,901,2514.2,0.42,0.11,0,0.0
TRK-904711,Singapore (SG),Port of Oakland (US),Global Freight Air,7,1009,2928.39,0.12,0.91,0,0.0
TRK-807764,Rotterdam (NL),Port of Oakland (US),Maersk Line,31,457,4345.54,0.5,0.77,1,9.2
TRK-738577,Rotterdam (NL),Port of Vancouver (CA),FedEx Supply Chain,32,2469,6690.96,0.32,0.26,0,0.0
TRK-130359,Ningbo-Zhoushan (CN),Port of New York (US),FedEx Supply Chain,11,1338,3548.62,0.87,0.34,1,4.3
TRK-456331,Hamburg Port (DE),Port of Los Angeles (US),DHL Express,5,1793,3198.59,0.37,0.63,0,0.0
TRK-250210,Yokohama (JP),Port of Vancouver (CA),OceanNet Logistics,26,2178,7596.05,0.45,0.58,1,7.1
TRK-172965,Ningbo-Zhoushan (CN),Port of Vancouver (CA),Maersk Line,24,759,4490.97,0.69,0.79,1,8.5
TRK-196214,Rotterdam (NL),Port of Oakland (US),DHL Express,26,1153,4572.38,0.75,0.29,1,6.9
TRK-494468,Shenzhen Port (CN),Port of Seattle (US),FedEx Supply Chain,18,949,5218.49,0.29,0.41,0,0.0
TRK-265055,Hamburg Port (DE),Port of New York (US),FedEx Supply Chain,29,1090,7581.45,0.69,0.58,1,9.4
TRK-914571,Yokohama (JP),Port of Oakland (US),Maersk Line,28,917,5520.91,0.9,0.12,1,8.7
TRK-155164,Ningbo-Zhoushan (CN),Port of Long Beach (US),Global Freight Air,29,1742,8273.16,0.33,0.76,1,8.5
TRK-152179,Rotterdam (NL),Port of Los Angeles (US),FedEx Supply Chain,17,1206,4410.33,0.92,0.13,1,5.8
TRK-564637,Rotterdam (NL),Port of Seattle (US),OceanNet Logistics,30,2048,7903.23,0.68,0.05,0,0.0
TRK-736565,Shenzhen Port (CN),Port of Seattle (US),FedEx Supply Chain,27,334,7708.27,0.73,0.91,1,9.4
TRK-326040,Singapore (SG),Port of Oakland (US),Maersk Line,34,1836,8975.9,0.63,0.09,1,7.0
TRK-461939,Shenzhen Port (CN),Port of Los Angeles (US),FedEx Supply Chain,20,1123,4607.05,0.24,0.38,0,0.0
TRK-811163,Rotterdam (NL),Port of Oakland (US),OceanNet Logistics,16,972,4176.32,0.42,0.79,1,6.2
TRK-652530,Rotterdam (NL),Port of New York (US),Maersk Line,20,748,4565.42,0.84,0.24,1,6.4
TRK-331230,Shenzhen Port (CN),Port of Oakland (US),Maersk Line,17,1872,3404.72,0.64,0.71,1,5.1
TRK-108060,Ningbo-Zhoushan (CN),Port of New York (US),DHL Express,16,1039,4395.57,0.23,0.85,1,4.2
TRK-904624,Ningbo-Zhoushan (CN),Port of New York (US),FedEx Supply Chain,7,1648,1467.84,0.51,0.29,0,0.0
TRK-444061,Shanghai Port (CN),Port of Los Angeles (US),OceanNet Logistics,25,657,6959.5,0.8,0.69,1,9.3
TRK-883301,Shenzhen Port (CN),Port of Long Beach (US),DHL Express,7,486,1742.81,0.59,0.06,0,0.0
TRK-498676,Yokohama (JP),Port of Vancouver (CA),DHL Express,15,839,2997.31,0.74,0.46,1,4.4
TRK-624563,Yokohama (JP),Port of Vancouver (CA),FedEx Supply Chain,21,2251,6243.95,0.57,0.12,0,0.0
TRK-175576,Shenzhen Port (CN),Port of Vancouver (CA),Maersk Line,19,1797,4363.45,0.35,0.36,0,0.0
TRK-557409,Shanghai Port (CN),Port of Seattle (US),Maersk Line,27,2159,5077.66,0.63,0.93,1,9.6
TRK-428267,Yokohama (JP),Port of Seattle (US),Global Freight Air,13,2307,5735.13,0.75,0.46,1,4.4
TRK-524068,Rotterdam (NL),Port of Vancouver (CA),OceanNet Logistics,8,715,1475.51,0.27,0.49,0,0.0
TRK-403578,Shanghai Port (CN),Port of Seattle (US),Maersk Line,19,1247,3328.9,0.91,0.9,1,8.0
