tracking_number,origin,destination,carrier,transit_days,quantity,total_cost,weather_risk_score,traffic_risk_score,supplier_reliability,delayed,actual_delay_days
TRK-210665,Shenzhen Port (CN),Port of New York (US),OceanNet Logistics,15,1061,3443.91,0.83,0.52,0.84,1,4.2
TRK-841666,Ningbo-Zhoushan (CN),Port of Seattle (US),DHL Express,30,764,5981.3,0.57,0.53,0.88,1,9.3
TRK-869440,Yokohama (JP),Port of Vancouver (CA),FedEx Supply Chain,10,990,3253.55,0.44,0.86,0.72,1,6.2
TRK-745830,Singapore (SG),Port of Oakland (US),OceanNet Logistics,8,814,1709.77,0.48,0.23,0.75,0,0.0
TRK-587455,Shenzhen Port (CN),Port of Vancouver (CA),Global Freight Air,8,472,1599.07,0.77,0.54,0.79,1,4.7
TRK-381433,Hamburg Port (DE),Port of Long Beach (US),Maersk Line,22,101,4147.1,0.16,0.21,0.9,0,0.0
TRK-392477,Shenzhen Port (CN),Port of Long Beach (US),OceanNet Logistics,14,1162,4138.49,0.15,0.56,0.77,0,0.0
TRK-697530,Yokohama (JP),Port of Vancouver (CA),OceanNet Logistics,8,1207,2847.88,0.55,0.09,0.88,0,0.0
TRK-452737,Shanghai Port (CN),Port of Seattle (US),FedEx Supply Chain,31,2288,9662.84,0.85,0.26,0.76,1,9.3
TRK-290672,Shenzhen Port (CN),Port of Long Beach (US),FedEx Supply Chain,30,1756,9760.17,0.37,0.26,0.93,0,0.0
TRK-936587,Hamburg Port (DE),Port of New York (US),FedEx Supply Chain,22,245,3406.65,0.43,0.19,0.77,0,0.0
TRK-725113,Rotterdam (NL),Port of New York (US),Global Freight Air,16,1349,4233.8,0.21,0.33,0.77,0,0.0
TRK-110644,Yokohama (JP),Port of Long Beach (US),Maersk Line,11,1646,2782.19,0.59,0.5,0.99,0,0.0
TRK-353080,Rotterdam (NL),Port of Seattle (US),OceanNet Logistics,7,362,1622.4,0.44,0.7,0.9,0,0.0
TRK-682144,Singapore (SG),Port of Long Beach (US),OceanNet Logistics,11,799,3202.86,0.35,0.86,0.92,1,3.8
TRK-777278,Rotterdam (NL),Port of Seattle (US),OceanNet Logistics,9,452,2026.53,0.38,0.36,0.88,0,0.0
TRK-931450,Shanghai Port (CN),Port of Los Angeles (US),FedEx Supply Chain,17,1055,3741.6,0.54,0.84,0.89,1,6.3
TRK-332360,Shenzhen Port (CN),Port of Vancouver (CA),DHL Express,33,157,7583.81,0.94,0.65,0.86,1,12.1
TRK-421080,Rotterdam (NL),Port of Oakland (US),FedEx Supply Chain,34,215,7204.93,0.91,0.21,0.9,1,8.5
TRK-596249,Yokohama (JP),Port of Oakland (US),FedEx Supply Chain,20,732,3158.44,0.32,0.93,0.84,1,6.2
TRK-546173,Rotterdam (NL),Port of Oakland (US),FedEx Supply Chain,27,447,3851.94,0.71,0.74,0.77,1,9.7
TRK-468900,Rotterdam (NL),Port of Seattle (US),FedEx Supply Chain,24,555,3907.39,0.79,0.75,0.91,1,6.8
TRK-421517,Hamburg Port (DE),Port of Long Beach (US),Maersk Line,5,1786,1781.03,0.13,0.89,0.86,0,0.0
TRK-856321,Ningbo-Zhoushan (CN),Port of New York (US),Maersk Line,15,934,3459.03,0.59,0.51,0.97,1,5.2
TRK-878967,Yokohama (JP),Port of Vancouver (CA),DHL Express,26,1439,5511.09,0.89,0.15,0.94,1,7.0
TRK-300845,Ningbo-Zhoushan (CN),Port of Vancouver (CA),OceanNet Logistics,28,1793,5670.01,0.24,0.79,0.79,1,6.0
TRK-389930,Rotterdam (NL),Port of Oakland (US),Global Freight Air,31,229,8574.22,0.57,0.89,0.87,1,9.9
TRK-725780,Hamburg Port (DE),Port of Los Angeles (US),DHL Express,5,263,928.61,0.86,0.8,0.79,1,5.5
TRK-410636,Ningbo-Zhoushan (CN),Port of New York (US),DHL Express,10,1148,2408.49,0.48,0.51,0.77,0,0.0
TRK-416950,Shanghai Port (CN),Port of Vancouver (CA),Global Freight Air,17,2079,4425.75,0.58,0.89,0.95,1,5.6
TRK-232731,Hamburg Port (DE),Port of Los Angeles (US),Maersk Line,10,1984,2693.42,0.38,0.4,0.86,0,0.0
TRK-680238,Hamburg Port (DE),Port of Vancouver (CA),DHL Express,6,2492,2435.77,0.1,0.68,0.99,0,0.0
TRK-768854,Singapore (SG),Port of Seattle (US),Maersk Line,23,1222,6032.46,0.29,0.21,0.9,0,0.0
TRK-112861,Yokohama (JP),Port of New York (US),OceanNet Logistics,5,1895,3519.23,0.6,0.33,0.88,0,0.0
TRK-601968,Shenzhen Port (CN),Port of New York (US),DHL Express,32,521,4850.38,0.85,0.45,0.76,1,9.5
TRK-153872,Hamburg Port (DE),Port of Seattle (US),Maersk Line,32,1649,6511.2,0.92,0.27,0.74,1,9.3
TRK-962050,Shanghai Port (CN),Port of Seattle (US),OceanNet Logistics,10,2011,3069.76,0.06,0.27,0.98,0,0.0
TRK-177680,Yokohama (JP),Port of Vancouver (CA),Maersk Line,22,2120,6819.83,0.15,0.54,0.83,0,0.0
TRK-259097,Ningbo-Zhoushan (CN),Port of Oakland (US),FedEx Supply Chain,24,1891,5403.8,0.19,0.34,0.91,0,0.0
TRK-189318,Ningbo-Zhoushan (CN),Port of Los Angeles (US),Global Freight Air,12,1868,4647.11,0.4,0.91,0.74,1,3.7
TRK-901577,Shenzhen Port (CN),Port of Oakland (US),Global Freight Air,28,492,7547.48,0.12,0.3,0.97,0,0.0
TRK-929151,Yokohama (JP),Port of Long Beach (US),Global Freight Air,32,2379,8740.18,0.64,0.86,0.88,1,10.9
TRK-498855,Shenzhen Port (CN),Port of Seattle (US),FedEx Supply Chain,32,955,5420.51,0.94,0.45,0.71,1,8.8
TRK-717113,Shenzhen Port (CN),Port of New York (US),Global Freight Air,27,2190,8623.83,0.14,0.08,0.85,0,0.0
TRK-751194,Shanghai Port (CN),Port of Oakland (US),Maersk Line,12,2050,3201.43,0.75,0.65,0.75,1,4.1
TRK-899787,Ningbo-Zhoushan (CN),Port of Vancouver (CA),DHL Express,9,872,2945.69,0.29,0.07,0.72,0,0.0
TRK-377501,Rotterdam (NL),Port of Los Angeles (US),DHL Express,32,1346,6343.62,0.93,0.65,0.7,1,10.3
TRK-351516,Ningbo-Zhoushan (CN),Port of Oakland (US),Maersk Line,8,1713,2729.53,0.48,0.86,0.79,1,3.0
TRK-264136,Shanghai Port (CN),Port of Seattle (US),OceanNet Logistics,31,1611,6707.79,0.88,0.52,0.88,1,8.7
TRK-822858,Yokohama (JP),Port of Seattle (US),FedEx Supply Chain,14,882,3334.06,0.14,0.39,0.86,0,0.0
TRK-134225,Ningbo-Zhoushan (CN),Port of New York (US),FedEx Supply Chain,30,2103,5316.35,0.85,0.63,0.78,1,11.2
TRK-837135,Singapore (SG),Port of Seattle (US),Maersk Line,27,138,7355.24,0.28,0.73,0.83,1,8.5
TRK-820775,Ningbo-Zhoushan (CN),Port of New York (US),Global Freight Air,12,2385,5055.32,0.21,0.54,0.99,0,0.0
TRK-793300,Singapore (SG),Port of Long Beach (US),OceanNet Logistics,26,869,6466.08,0.79,0.24,0.85,1,8.6
TRK-220351,Yokohama (JP),Port of Long Beach (US),DHL Express,17,2425,5501.17,0.51,0.32,0.86,0,0.0
TRK-378535,Singapore (SG),Port of Long Beach (US),Maersk Line,33,1153,8564.46,0.74,0.19,0.83,1,6.8
TRK-162535,Ningbo-Zhoushan (CN),Port of New York (US),Global Freight Air,5,1999,3272.79,0.14,0.41,0.93,0,0.0
TRK-885339,Singapore (SG),Port of Oakland (US),FedEx Supply Chain,15,1528,4724.49,0.22,0.37,0.93,0,0.0
TRK-560485,Shanghai Port (CN),Port of Seattle (US),FedEx Supply Chain,24,2381,5332.17,0.72,0.23,0.98,1,6.2
TRK-833723,Shenzhen Port (CN),Port of New York (US),Global Freight Air,15,1878,4900.43,0.5,0.16,0.81,0,0.0
TRK-666211,Shenzhen Port (CN),Port of Seattle (US),Maersk Line,8,1143,2371.17,0.17,0.65,0.7,0,0.0
TRK-727086,Shanghai Port (CN),Port of Seattle (US),FedEx Supply Chain,11,2349,3915.56,0.76,0.13,0.87,0,0.0
TRK-733039,Hamburg Port (DE),Port of Los Angeles (US),Maersk Line,8,625,1679.07,0.25,0.68,0.72,0,0.0
TRK-340044,Rotterdam (NL),Port of Oakland (US),Global Freight Air,28,261,6271.48,0.07,0.34,0.88,0,0.0
TRK-121753,Singapore (SG),Port of Vancouver (CA),FedEx Supply Chain,23,505,5964.88,0.93,0.24,0.94,1,7.2
TRK-704238,Shanghai Port (CN),Port of Long Beach (US),OceanNet Logistics,17,839,4347.87,0.26,0.38,0.72,0,0.0
TRK-644173,Rotterdam (NL),Port of Seattle (US),FedEx Supply Chain,32,1426,10326.5,0.63,0.43,0.88,1,9.7
TRK-290305,Yokohama (JP),Port of Seattle (US),OceanNet Logistics,31,498,8203.85,0.4,0.56,0.87,1,6.9
TRK-195674,Shenzhen Port (CN),Port of New York (US),OceanNet Logistics,33,237,4232.88,0.07,0.8,0.78,0,0.0
TRK-449499,Hamburg Port (DE),Port of Vancouver (CA),Maersk Line,21,2000,4695.52,0.82,0.25,0.81,1,6.4
TRK-999398,Ningbo-Zhoushan (CN),Port of New York (US),OceanNet Logistics,24,2196,7936.31,0.69,0.62,0.71,1,9.3
TRK-827369,Shenzhen Port (CN),Port of New York (US),OceanNet Logistics,7,740,1581.36,0.1,0.25,0.74,0,0.0
TRK-953085,Singapore (SG),Port of Oakland (US),Maersk Line,29,1719,9421.28,0.11,0.1,0.78,0,0.0
TRK-576919,Shanghai Port (CN),Port of New York (US),FedEx Supply Chain,32,1002,8965.62,0.27,0.29,0.92,0,0.0
TRK-438977,Shanghai Port (CN),Port of Seattle (US),Global Freight Air,14,304,2183.73,0.82,0.09,0.88,0,0.0
TRK-964998,Shanghai Port (CN),Port of Vancouver (CA),Global Freight Air,15,1564,3461.42,0.74,0.13,0.77,0,0.0
TRK-584417,Shenzhen Port (CN),Port of Los Angeles (US),DHL Express,28,1271,7784.26,0.4,0.8,0.93,1,8.6
TRK-643623,Hamburg Port (DE),Port of Oakland (US),OceanNet Logistics,9,2461,4194.14,0.7,0.22,0.8,0,0.0
TRK-755788,Shenzhen Port (CN),Port of Los Angeles (US),DHL Express,23,1980,8596.25,0.21,0.07,0.91,0,0.0
TRK-380028,Yokohama (JP),Port of Long Beach (US),FedEx Supply Chain,14,2474,5126.56,0.93,0.25,0.82,1,5.5
TRK-559398,Rotterdam (NL),Port of Seattle (US),Maersk Line,11,276,1675.35,0.46,0.49,0.75,0,0.0
TRK-130271,Rotterdam (NL),Port of Oakland (US),DHL Express,6,2169,3655.93,0.47,0.42,0.89,0,0.0
TRK-844261,Ningbo-Zhoushan (CN),Port of New York (US),Global Freight Air,26,687,5464.4,0.78,0.46,0.72,1,9.2
TRK-114338,Yokohama (JP),Port of Seattle (US),Maersk Line,11,2424,2886.46,0.73,0.52,0.76,1,6.1
TRK-335615,Singapore (SG),Port of Los Angeles (US),OceanNet Logistics,26,881,5417.27,0.94,0.74,0.71,1,8.2
TRK-223172,Rotterdam (NL),Port of Long Beach (US),OceanNet Logistics,34,2091,7289.35,0.77,0.38,0.83,1,9.4
TRK-851413,Hamburg Port (DE),Port of Oakland (US),FedEx Supply Chain,15,406,2425.08,0.13,0.37,0.92,0,0.0
TRK-535673,Singapore (SG),Port of Seattle (US),OceanNet Logistics,9,1004,3026.41,0.53,0.19,0.9,0,0.0
TRK-355570,Shenzhen Port (CN),Port of Oakland (US),DHL Express,16,947,5247.64,0.3,0.94,0.74,1,4.7
TRK-502219,Ningbo-Zhoushan (CN),Port of Oakland (US),Global Freight Air,12,712,3688.68,0.33,0.77,0.98,0,0.0
TRK-882544,Ningbo-Zhoushan (CN),Port of Los Angeles (US),FedEx Supply Chain,23,1647,5505.54,0.94,0.49,0.74,1,8.8
TRK-910208,Singapore (SG),Port of Seattle (US),FedEx Supply Chain,6,1383,3316.35,0.64,0.17,0.9,0,0.0
TRK-925981,Yokohama (JP),Port of New York (US),Maersk Line,7,2343,4024.01,0.12,0.71,0.75,0,0.0
TRK-396578,Rotterdam (NL),Port of New York (US),Global Freight Air,33,364,7189.62,0.69,0.33,0.84,1,10.0
TRK-708093,Rotterdam (NL),Port of Seattle (US),DHL Express,16,1349,5559.51,0.52,0.27,0.73,0,0.0
TRK-568238,Yokohama (JP),Port of Seattle (US),FedEx Supply Chain,30,289,5886.24,0.86,0.72,0.76,1,10.8
TRK-448588,Yokohama (JP),Port of Oakland (US),OceanNet Logistics,27,995,7456.89,0.47,0.93,0.88,1,7.4
TRK-577463,Hamburg Port (DE),Port of Long Beach (US),DHL Express,20,2053,5743.56,0.11,0.21,0.95,0,0.0
TRK-699573,Shenzhen Port (CN),Port of Long Beach (US),OceanNet Logistics,32,2148,7514.96,0.63,0.67,0.85,1,9.0
TRK-145767,Hamburg Port (DE),Port of Vancouver (CA),OceanNet Logistics,25,2374,6947.87,0.73,0.86,0.77,1,10.0
TRK-839485,Singapore (SG),Port of Seattle (US),OceanNet Logistics,32,944,8214.02,0.84,0.05,0.75,1,7.9
TRK-795928,Singapore (SG),Port of Vancouver (CA),DHL Express,18,241,3992.54,0.39,0.93,0.73,1,6.1
TRK-619389,Shanghai Port (CN),Port of Long Beach (US),Global Freight Air,29,523,8238.25,0.3,0.82,0.78,1,9.6
TRK-718849,Hamburg Port (DE),Port of Los Angeles (US),OceanNet Logistics,14,1398,3138.83,0.92,0.7,0.79,1,7.3
TRK-204555,Yokohama (JP),Port of Seattle (US),Maersk Line,32,886,5372.51,0.68,0.54,0.73,1,8.7
TRK-857537,Ningbo-Zhoushan (CN),Port of Seattle (US),DHL Express,5,2236,2969.87,0.25,0.71,0.87,0,0.0
TRK-178463,Shenzhen Port (CN),Port of New York (US),FedEx Supply Chain,31,167,8252.14,0.35,0.36,0.99,0,0.0
TRK-753534,Rotterdam (NL),Port of Seattle (US),Maersk Line,27,1185,4580.52,0.57,0.95,0.95,1,9.1
TRK-993140,Hamburg Port (DE),Port of Vancouver (CA),Global Freight Air,9,1427,3426.33,0.15,0.13,0.96,0,0.0
TRK-498468,Hamburg Port (DE),Port of Vancouver (CA),OceanNet Logistics,8,1158,3286.89,0.56,0.52,0.82,0,0.0
TRK-667296,Shanghai Port (CN),Port of Oakland (US),Maersk Line,16,2321,5747.54,0.85,0.45,0.88,1,6.4
TRK-346174,Rotterdam (NL),Port of Vancouver (CA),FedEx Supply Chain,24,604,4345.92,0.51,0.14,0.81,0,0.0
TRK-338536,Rotterdam (NL),Port of Los Angeles (US),OceanNet Logistics,17,678,5215.04,0.59,0.72,0.85,1,6.6
TRK-203225,Singapore (SG),Port of Vancouver (CA),Maersk Line,10,2361,2939.8,0.48,0.09,0.74,0,0.0
TRK-565230,Ningbo-Zhoushan (CN),Port of Vancouver (CA),FedEx Supply Chain,32,461,6077.23,0.48,0.23,0.88,0,0.0
TRK-130353,Shanghai Port (CN),Port of New York (US),Maersk Line,17,1975,4327.2,0.05,0.06,0.76,0,0.0
TRK-407618,Hamburg Port (DE),Port of New York (US),OceanNet Logistics,15,503,2790.64,0.77,0.56,0.85,1,5.0
TRK-252640,Ningbo-Zhoushan (CN),Port of Oakland (US),OceanNet Logistics,34,2380,6046.44,0.61,0.15,0.8,0,0.0
TRK-693418,Rotterdam (NL),Port of Long Beach (US),DHL Express,11,282,2493.35,0.68,0.94,0.74,1,4.5
TRK-283573,Shanghai Port (CN),Port of Oakland (US),OceanNet Logistics,5,118,1401.66,0.69,0.6,0.79,1,4.8
TRK-749813,Rotterdam (NL),Port of Long Beach (US),OceanNet Logistics,11,1087,2442.51,0.62,0.1,0.77,0,0.0
TRK-711484,Ningbo-Zhoushan (CN),Port of Long Beach (US),OceanNet Logistics,27,1810,6300.13,0.65,0.77,0.89,1,7.4
TRK-768891,Hamburg Port (DE),Port of Seattle (US),FedEx Supply Chain,19,1035,3493.21,0.12,0.37,0.97,0,0.0
TRK-799233,Shanghai Port (CN),Port of Seattle (US),FedEx Supply Chain,33,204,8825.13,0.59,0.5,0.74,1,7.9
TRK-810526,Yokohama (JP),Port of Long Beach (US),Maersk Line,11,1663,3129.91,0.72,0.53,0.94,1,6.5
TRK-563187,Hamburg Port (DE),Port of Oakland (US),FedEx Supply Chain,6,1204,2327.0,0.45,0.13,0.82,0,0.0
TRK-769975,Shenzhen Port (CN),Port of Vancouver (CA),FedEx Supply Chain,9,1336,2750.66,0.47,0.79,0.72,1,4.0
TRK-579027,Singapore (SG),Port of New York (US),DHL Express,15,1781,3114.9,0.54,0.83,0.87,1,4.8
TRK-503380,Singapore (SG),Port of Seattle (US),Maersk Line,7,2342,4360.12,0.44,0.34,0.87,0,0.0
TRK-348728,Shenzhen Port (CN),Port of Oakland (US),FedEx Supply Chain,30,1241,8046.44,0.39,0.2,0.82,0,0.0
TRK-702733,Hamburg Port (DE),Port of Vancouver (CA),FedEx Supply Chain,8,1691,3818.42,0.36,0.52,0.81,0,0.0
TRK-123005,Singapore (SG),Port of Vancouver (CA),OceanNet Logistics,7,1550,2682.43,0.59,0.14,0.95,0,0.0
TRK-387813,Shanghai Port (CN),Port of Oakland (US),Maersk Line,12,1029,3634.1,0.55,0.14,0.75,0,0.0
TRK-735863,Rotterdam (NL),Port of Seattle (US),FedEx Supply Chain,22,1499,6279.02,0.17,0.14,0.76,0,0.0
TRK-913423,Singapore (SG),Port of Long Beach (US),Global Freight Air,15,1357,3400.72,0.18,0.49,0.74,0,0.0
TRK-940886,Hamburg Port (DE),Port of Long Beach (US),DHL Express,30,2272,6766.52,0.48,0.45,0.99,1,7.8
TRK-751051,Hamburg Port (DE),Port of Vancouver (CA),DHL Express,33,176,4905.83,0.08,0.92,0.92,1,10.0
TRK-758765,Shanghai Port (CN),Port of Vancouver (CA),Maersk Line,13,2452,3762.98,0.27,0.8,0.8,0,0.0
TRK-423939,Singapore (SG),Port of Seattle (US),Maersk Line,6,1539,2311.45,0.51,0.66,0.77,1,4.9
TRK-707727,Hamburg Port (DE),Port of Vancouver (CA),DHL Express,8,1622,2366.34,0.95,0.19,0.94,1,3.1
TRK-194511,Hamburg Port (DE),Port of New York (US),OceanNet Logistics,33,2420,7840.38,0.34,0.76,0.83,1,9.8
TRK-284171,Ningbo-Zhoushan (CN),Port of Long Beach (US),Global Freight Air,12,1407,4296.22,0.87,0.17,0.87,1,5.1
TRK-483629,Yokohama (JP),Port of Oakland (US),FedEx Supply Chain,26,1808,4517.47,0.72,0.54,0.72,1,8.9
TRK-970813,Ningbo-Zhoushan (CN),Port of New York (US),OceanNet Logistics,13,657,3762.54,0.9,0.51,0.73,1,6.4
TRK-945664,Hamburg Port (DE),Port of Vancouver (CA),FedEx Supply Chain,10,794,2138.87,0.23,0.74,0.81,0,0.0
TRK-943298,Shanghai Port (CN),Port of Seattle (US),Maersk Line,15,803,3761.79,0.83,0.93,0.82,1,7.7
TRK-247594,Singapore (SG),Port of Long Beach (US),OceanNet Logistics,19,1002,4050.0,0.15,0.82,0.83,0,0.0
TRK-986827,Singapore (SG),Port of Oakland (US),FedEx Supply Chain,21,939,5778.91,0.45,0.51,0.88,0,0.0
TRK-194689,Singapore (SG),Port of Seattle (US),Maersk Line,27,1237,7080.57,0.7,0.67,0.74,1,8.1
TRK-377304,Yokohama (JP),Port of Los Angeles (US),OceanNet Logistics,20,1327,4637.9,0.24,0.91,0.7,1,8.1
TRK-486490,Rotterdam (NL),Port of Vancouver (CA),FedEx Supply Chain,12,212,1515.54,0.09,0.36,0.88,0,0.0
TRK-712955,Shenzhen Port (CN),Port of Vancouver (CA),FedEx Supply Chain,19,1672,5555.76,0.79,0.78,0.96,1,7.9
TRK-213609,Rotterdam (NL),Port of Long Beach (US),OceanNet Logistics,12,901,2514.2,0.42,0.11,0.8,0,0.0
TRK-126240,Yokohama (JP),Port of Oakland (US),FedEx Supply Chain,7,1009,2928.39,0.12,0.91,0.85,0,0.0
TRK-739717,Ningbo-Zhoushan (CN),Port of Vancouver (CA),Maersk Line,20,1189,4386.07,0.77,0.69,0.71,1,5.8
TRK-766269,Singapore (SG),Port of Seattle (US),FedEx Supply Chain,17,2331,3908.74,0.3,0.77,0.97,0,0.0
TRK-780776,Shenzhen Port (CN),Port of Los Angeles (US),DHL Express,34,1690,7706.2,0.48,0.25,0.89,0,0.0
TRK-147549,Shanghai Port (CN),Port of New York (US),OceanNet Logistics,25,1656,5416.14,0.73,0.22,0.91,1,8.2
TRK-221761,Shanghai Port (CN),Port of Long Beach (US),Global Freight Air,14,1579,4333.85,0.52,0.47,0.77,0,0.0
TRK-242254,Shenzhen Port (CN),Port of Seattle (US),FedEx Supply Chain,25,1145,4378.78,0.88,0.7,0.82,1,7.8
TRK-803055,Rotterdam (NL),Port of Vancouver (CA),Global Freight Air,6,949,2392.78,0.29,0.41,0.73,0,0.0
TRK-539486,Yokohama (JP),Port of Vancouver (CA),DHL Express,21,1984,4032.24,0.69,0.11,0.94,0,0.0
TRK-535037,Rotterdam (NL),Port of Los Angeles (US),OceanNet Logistics,13,2472,4558.6,0.89,0.79,0.74,1,6.2
TRK-745558,Shenzhen Port (CN),Port of New York (US),Maersk Line,6,527,2008.94,0.9,0.43,0.81,1,5.4
TRK-823811,Hamburg Port (DE),Port of Long Beach (US),OceanNet Logistics,23,570,4596.45,0.62,0.68,0.7,1,6.4
TRK-566297,Ningbo-Zhoushan (CN),Port of New York (US),Maersk Line,25,334,7159.13,0.73,0.91,0.9,1,8.3
TRK-818987,Hamburg Port (DE),Port of Oakland (US),FedEx Supply Chain,25,1846,4783.89,0.37,0.91,0.85,1,7.5
TRK-163491,Shenzhen Port (CN),Port of New York (US),DHL Express,19,1619,4126.89,0.38,0.1,0.92,0,0.0
TRK-228093,Singapore (SG),Port of Seattle (US),Maersk Line,22,496,5493.11,0.38,0.83,0.91,1,7.4
TRK-794963,Ningbo-Zhoushan (CN),Port of Vancouver (CA),Global Freight Air,8,1978,2974.51,0.17,0.64,0.91,0,0.0
TRK-122394,Shanghai Port (CN),Port of New York (US),DHL Express,32,2473,7996.26,0.69,0.23,0.96,1,7.4
TRK-232040,Singapore (SG),Port of Oakland (US),DHL Express,7,1648,1467.84,0.51,0.29,0.94,0,0.0
TRK-171942,Singapore (SG),Port of Oakland (US),DHL Express,18,1915,6206.79,0.9,0.08,0.91,1,5.1
TRK-714867,Ningbo-Zhoushan (CN),Port of Long Beach (US),FedEx Supply Chain,16,983,3363.1,0.92,0.52,0.9,1,5.6
TRK-911984,Ningbo-Zhoushan (CN),Port of Oakland (US),Maersk Line,32,2251,9072.5,0.57,0.12,0.81,0,0.0
TRK-390743,Singapore (SG),Port of Long Beach (US),DHL Express,13,1797,3225.36,0.35,0.36,0.91,0,0.0
TRK-666456,Hamburg Port (DE),Port of Long Beach (US),Maersk Line,11,2159,2390.18,0.63,0.93,0.95,1,3.5
TRK-793169,Singapore (SG),Port of Los Angeles (US),DHL Express,15,324,2766.32,0.24,0.19,0.96,0,0.0
TRK-115582,Hamburg Port (DE),Port of Long Beach (US),Global Freight Air,33,588,7816.0,0.48,0.1,0.89,0,0.0
TRK-439498,Shanghai Port (CN),Port of Long Beach (US),FedEx Supply Chain,8,1725,3320.08,0.53,0.64,0.89,1,4.3
TRK-154944,Ningbo-Zhoushan (CN),Port of Vancouver (CA),OceanNet Logistics,26,332,6286.26,0.61,0.86,0.95,1,8.0
TRK-651640,Shanghai Port (CN),Port of Vancouver (CA),Maersk Line,23,2414,7555.06,0.87,0.2,0.89,1,8.0
TRK-599380,Shenzhen Port (CN),Port of New York (US),Global Freight Air,19,315,4213.69,0.1,0.67,0.9,0,0.0
TRK-722503,Shanghai Port (CN),Port of Seattle (US),Global Freight Air,22,2152,5005.19,0.09,0.42,0.79,0,0.0
TRK-332311,Yokohama (JP),Port of Los Angeles (US),Global Freight Air,6,2162,2899.24,0.92,0.61,0.97,1,4.9
TRK-416282,Shenzhen Port (CN),Port of Vancouver (CA),Maersk Line,18,2449,3905.65,0.2,0.45,0.76,0,0.0
TRK-163780,Shenzhen Port (CN),Port of Seattle (US),OceanNet Logistics,15,719,4910.87,0.76,0.82,0.77,1,7.9
TRK-819425,Shanghai Port (CN),Port of Seattle (US),OceanNet Logistics,20,679,6366.89,0.69,0.93,0.87,1,6.7
TRK-177060,Shanghai Port (CN),Port of New York (US),Global Freight Air,29,2421,5789.51,0.61,0.93,0.76,1,10.9
TRK-255539,Shanghai Port (CN),Port of Long Beach (US),FedEx Supply Chain,31,2272,11087.16,0.52,0.93,0.92,1,8.7
TRK-754644,Rotterdam (NL),Port of Oakland (US),Global Freight Air,12,2119,3697.64,0.65,0.2,0.86,0,0.0
TRK-846746,Hamburg Port (DE),Port of Seattle (US),Global Freight Air,26,2240,4792.0,0.06,0.37,0.97,0,0.0
TRK-656329,Hamburg Port (DE),Port of Seattle (US),Global Freight Air,14,2318,4171.02,0.21,0.51,0.93,0,0.0
TRK-734836,Shenzhen Port (CN),Port of Los Angeles (US),Maersk Line,26,448,6192.39,0.16,0.31,0.82,0,0.0
TRK-994217,Rotterdam (NL),Port of Vancouver (CA),Global Freight Air,31,1622,7430.84,0.48,0.62,0.73,1,7.1
TRK-855855,Singapore (SG),Port of Long Beach (US),OceanNet Logistics,7,373,1717.6,0.57,0.42,0.95,0,0.0
TRK-573489,Ningbo-Zhoushan (CN),Port of Seattle (US),FedEx Supply Chain,5,253,965.39,0.51,0.25,0.71,0,0.0
TRK-967611,Shenzhen Port (CN),Port of Seattle (US),OceanNet Logistics,30,1316,8308.56,0.3,0.91,0.87,1,8.5
TRK-865054,Shanghai Port (CN),Port of New York (US),OceanNet Logistics,23,760,6115.35,0.3,0.37,0.96,0,0.0
TRK-427704,Rotterdam (NL),Port of New York (US),FedEx Supply Chain,11,2301,4584.57,0.75,0.48,0.84,1,3.7
TRK-260053,Rotterdam (NL),Port of Seattle (US),Maersk Line,33,1491,9316.95,0.24,0.11,0.72,0,0.0
TRK-195656,Singapore (SG),Port of Los Angeles (US),Maersk Line,19,2020,6035.73,0.8,0.35,0.9,1,7.2
TRK-552855,Shanghai Port (CN),Port of Vancouver (CA),FedEx Supply Chain,14,389,3308.5,0.3,0.43,0.71,0,0.0
TRK-951201,Ningbo-Zhoushan (CN),Port of Oakland (US),Maersk Line,34,280,4353.7,0.42,0.52,0.72,1,10.4
TRK-714953,Yokohama (JP),Port of Oakland (US),FedEx Supply Chain,11,1738,2791.7,0.26,0.05,0.91,0,0.0
TRK-802559,Shanghai Port (CN),Port of Seattle (US),FedEx Supply Chain,32,943,7671.48,0.72,0.81,0.82,1,10.0
TRK-797660,Singapore (SG),Port of Seattle (US),Maersk Line,34,968,9420.61,0.21,0.38,0.96,0,0.0
TRK-401601,Yokohama (JP),Port of New York (US),FedEx Supply Chain,26,1145,6291.0,0.64,0.12,0.86,0,0.0
TRK-208633,Yokohama (JP),Port of Oakland (US),DHL Express,14,2179,4319.73,0.58,0.91,0.71,1,5.0
TRK-262246,Rotterdam (NL),Port of Seattle (US),DHL Express,8,1683,2769.37,0.73,0.14,0.85,0,0.0
TRK-988432,Shanghai Port (CN),Port of New York (US),Global Freight Air,29,1204,8687.71,0.68,0.69,0.83,1,10.7
TRK-485415,Shanghai Port (CN),Port of New York (US),Global Freight Air,27,1501,8377.25,0.3,0.78,0.76,1,7.1
TRK-337144,Singapore (SG),Port of Seattle (US),Global Freight Air,10,1463,4296.21,0.68,0.7,0.86,1,6.3
TRK-904711,Singapore (SG),Port of Oakland (US),Global Freight Air,5,1597,1875.56,0.71,0.4,0.71,1,4.8
TRK-807764,Rotterdam (NL),Port of Oakland (US),Maersk Line,12,177,3465.47,0.44,0.26,0.9,0,0.0
